                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.927,                 3.8762,                 1.3573,                0.00894,                0.23695,                0.06769,                0.02838,                 1.9119,                  3.424,                 1.3222,                0.09109,                  9e-05,                  9e-05
                      2,                 1.6127,                 2.0378,                 1.1177,                0.00056,                0.01473,                0.00284,                0.00108,                 4.0511,                 4.7042,                  3.465,                0.08119,             0.00018991,             0.00018991
                      3,                 1.5219,                 1.4162,                 1.0987,                0.00071,                0.01874,                0.00565,                0.00291,                 2.7745,                 4.0887,                 2.2596,                0.07129,             0.00028971,             0.00028971
                      4,                 1.4511,                 1.1497,                 1.0739,                0.00192,                0.00837,                0.00393,                 0.0026,                   2.96,                 4.5177,                 2.3448,               0.061389,             0.00038942,             0.00038942
                      5,                 1.4063,                 1.0262,                 1.0586,                0.17317,                 0.0166,                0.09658,                0.07318,                 2.3465,                 4.7113,                 1.8204,               0.051489,             0.00048902,             0.00048902
                      6,                 1.4049,                0.94862,                 1.0432,                0.91376,                 0.1469,                0.26436,                 0.1729,                 1.6019,                 3.0326,                 1.1836,               0.041589,             0.00058853,             0.00058853
                      7,                 1.3629,                0.92874,                 1.0345,                0.88409,                0.19767,                0.31738,                0.20218,                 1.5322,                 2.5316,                  1.128,               0.031688,             0.00068793,             0.00068793
                      8,                  1.344,                0.88973,                 1.0278,                0.79144,                0.34381,                0.39522,                0.24751,                 1.4879,                 1.6787,                 1.0954,               0.021787,             0.00078724,             0.00078724
                      9,                 1.3169,                0.85686,                 1.0268,                0.77172,                0.30616,                0.36287,                0.23117,                 1.4554,                 2.2195,                 1.0816,               0.011886,             0.00088644,             0.00088644
                     10,                  1.336,                0.83938,                 1.0309,                0.83549,                0.40032,                0.46496,                0.29152,                 1.5157,                 1.5659,                 1.1291,              0.0019855,             0.00098555,             0.00098555
