                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1552,                 3.7148,                 1.4339,                0.05246,                0.18909,                0.12174,                 0.0427,                 2.1479,                 3.0577,                 1.4841,                 0.0919,                 0.0009,                 0.0009
                      2,                 1.6829,                 1.7412,                 1.2421,                0.35451,                0.02443,                0.00655,                0.00266,                 2.3156,                 3.9218,                 2.1541,                 0.0829,              0.0018997,              0.0018997
                      3,                 1.6843,                 1.4563,                 1.2415,                  2e-05,                0.00033,                  1e-05,                      0,                    nan,                    nan,                    nan,               0.073899,               0.002899,               0.002899
                      4,                 1.5598,                 1.2672,                 1.1967,                  2e-05,                0.00033,                  1e-05,                      0,                 3.8089,                    inf,                 8.0645,               0.064898,              0.0038981,              0.0038981
                      5,                 1.5738,                 1.2529,                 1.2155,                  2e-05,                0.00033,                  1e-05,                      0,                    nan,                    nan,                    nan,               0.055897,              0.0048968,              0.0048968
                      6,                 1.6108,                  1.316,                 1.2432,                 0.0031,                0.00512,                0.00064,                0.00015,                 3.6909,                    inf,                 3.7813,               0.046895,              0.0058951,              0.0058951
                      7,                 1.5564,                 1.0958,                 1.1929,                0.33676,                0.03691,                 0.0037,                0.00166,                 3.0562,                    inf,                 4.0773,               0.037893,              0.0068932,              0.0068932
                      8,                 1.5198,                 1.0709,                 1.1892,                0.09653,                0.18808,                0.05823,                0.02675,                 1.9472,                 2.9041,                 1.8439,               0.028891,              0.0078909,              0.0078909
                      9,                  1.506,                  1.026,                  1.176,                0.06045,                0.23336,                0.05015,                0.02452,                 1.8985,                 6.5249,                 1.7544,               0.019888,              0.0088883,              0.0088883
                     10,                 1.5407,                 1.0352,                 1.1665,                0.43651,                0.11981,                0.07095,                0.03077,                 2.1214,                 3.0892,                 2.0492,               0.010885,              0.0098853,              0.0098853
                     11,                  1.473,                0.98895,                  1.155,                0.87531,                0.17102,                0.17687,                0.09433,                  1.771,                 4.0466,                 1.6164,              0.0099835,              0.0099835,              0.0099835
                     12,                 1.5224,                 1.0127,                 1.1669,                0.88106,                0.15797,                0.17844,                0.09063,                 1.8609,                 3.5907,                 1.6961,              0.0099835,              0.0099835,              0.0099835
                     13,                 1.3948,                0.92904,                 1.1373,                0.65702,                 0.2374,                0.24171,                0.13153,                 1.6648,                 3.8138,                 1.4193,              0.0099819,              0.0099819,              0.0099819
                     14,                 1.4063,                0.95247,                 1.1553,                0.67878,                0.34163,                0.31911,                0.18039,                 1.5194,                 1.4357,                 1.3189,              0.0099802,              0.0099802,              0.0099802
                     15,                 1.4478,                 0.8931,                 1.1589,                0.61919,                 0.2326,                0.24478,                0.13504,                 1.6395,                 2.0023,                 1.3505,              0.0099786,              0.0099786,              0.0099786
                     16,                 1.4478,                0.92102,                 1.1559,                0.90183,                0.22792,                0.27198,                0.15639,                 1.5346,                 2.2999,                  1.307,              0.0099769,              0.0099769,              0.0099769
