                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8704,                 3.3314,                 1.2945,                  0.026,                0.64998,                0.19736,                0.09195,                 1.6988,                 3.0526,                 1.1495,             0.00027151,             0.00027151,             0.00027151
                      2,                 1.5632,                 1.5767,                 1.0932,                0.01972,                 0.2662,                0.15673,                0.09356,                 1.4922,                 3.1161,                 1.1888,             0.00055703,             0.00055703,             0.00055703
                      3,                 1.4471,                 1.2963,                  1.071,                0.75766,                0.11155,                0.19724,                0.12303,                 1.5348,                 2.7233,                 1.1627,             0.00084228,             0.00084228,             0.00084228
                      4,                 1.4064,                  1.196,                 1.0635,                0.92594,                 0.1682,                0.32111,                0.18694,                 1.4943,                 2.4257,                 1.1195,              0.0011272,              0.0011272,              0.0011272
                      5,                 1.4208,                 1.1249,                 1.0463,                0.77237,                0.22407,                0.31097,                0.17633,                 1.4406,                 2.2457,                 1.1026,              0.0014119,              0.0014119,              0.0014119
                      6,                 1.3671,                 1.0455,                 1.0622,                0.81455,                0.45993,                0.50647,                0.30566,                 1.3955,                 1.2097,                 1.0469,              0.0014255,              0.0014255,              0.0014255
                      7,                 1.3892,                  1.008,                  1.046,                0.78199,                0.45653,                 0.5585,                0.32982,                  1.402,                 1.2786,                  1.069,              0.0014255,              0.0014255,              0.0014255
                      8,                 1.4463,                 1.0229,                 1.0647,                0.78532,                0.44692,                0.53193,                0.32115,                 1.3983,                 1.1897,                 1.0598,              0.0014248,              0.0014248,              0.0014248
                      9,                 1.4025,                0.98163,                 1.0405,                0.80346,                0.43015,                0.49697,                0.28456,                  1.413,                 1.1242,                 1.0721,               0.001424,               0.001424,               0.001424
                     10,                 1.3468,                0.91491,                 1.0283,                0.87536,                0.49712,                 0.5426,                0.32412,                  1.353,                 1.0169,                 1.0396,              0.0014233,              0.0014233,              0.0014233
                     11,                 1.3326,                 0.8885,                 1.0397,                0.88447,                0.52436,                 0.5622,                0.33615,                 1.3364,                0.89126,                 1.0303,              0.0014226,              0.0014226,              0.0014226
                     12,                 1.3551,                0.88829,                 1.0291,                0.44795,                 0.6268,                0.61173,                0.37649,                 1.3311,                0.84464,                 1.0416,              0.0014219,              0.0014219,              0.0014219
                     13,                 1.3137,                0.87911,                 1.0351,                0.88572,                 0.5157,                0.58878,                0.37272,                 1.3151,                0.86211,                 1.0368,              0.0014212,              0.0014212,              0.0014212
                     14,                 1.3062,                0.85475,                 1.0041,                0.87282,                0.52373,                0.57513,                0.35474,                 1.2888,                0.83504,                 1.0454,              0.0014205,              0.0014205,              0.0014205
                     15,                 1.2823,                0.81317,                  1.015,                0.93734,                0.49233,                0.58259,                0.36311,                 1.2938,                0.77118,                 1.0315,              0.0014198,              0.0014198,              0.0014198
                     16,                 1.2817,                0.81187,                  1.013,                0.83976,                0.49356,                0.52775,                0.32096,                 1.3381,                0.86726,                 1.0502,              0.0014191,              0.0014191,              0.0014191
                     17,                 1.2928,                0.80196,                 1.0243,                0.87849,                0.51089,                0.59698,                0.34396,                 1.3291,                0.80663,                 1.0432,              0.0014184,              0.0014184,              0.0014184
                     18,                 1.2579,                0.79007,                  1.019,                0.88354,                0.53069,                0.61581,                 0.3743,                 1.3153,                0.81329,                 1.0478,              0.0014177,              0.0014177,              0.0014177
                     19,                 1.2662,                0.77273,                 1.0203,                0.88802,                0.54786,                0.58113,                0.37182,                 1.2929,                0.75027,                 1.0356,               0.001417,               0.001417,               0.001417
                     20,                  1.304,                0.77816,                 1.0243,                0.92146,                0.48506,                0.56407,                0.35306,                 1.3099,                0.75539,                 1.0375,              0.0014163,              0.0014163,              0.0014163
                     21,                  1.247,                0.74869,                0.99948,                0.88841,                 0.5379,                0.57588,                0.36132,                 1.2839,                0.73213,                 1.0363,              0.0014156,              0.0014156,              0.0014156
                     22,                 1.2653,                 0.7393,                 1.0074,                0.93471,                0.53786,                0.67171,                0.41371,                 1.2779,                0.68493,                 1.0286,              0.0014149,              0.0014149,              0.0014149
                     23,                 1.2418,                0.71483,                 0.9943,                0.91988,                0.53926,                 0.6053,                0.37406,                 1.3093,                0.69956,                  1.027,              0.0014141,              0.0014141,              0.0014141
                     24,                 1.2849,                0.73342,                 1.0099,                0.90693,                0.55552,                0.64229,                0.41971,                 1.2769,                0.68119,                 1.0212,              0.0014134,              0.0014134,              0.0014134
                     25,                 1.2273,                0.70244,                0.99173,                0.91063,                0.53491,                0.60696,                0.36392,                 1.3528,                0.73044,                 1.0505,              0.0014127,              0.0014127,              0.0014127
                     26,                 1.2539,                0.70871,                 1.0011,                0.91358,                0.54799,                0.65624,                0.41743,                 1.3118,                0.72733,                 1.0311,               0.001412,               0.001412,               0.001412
                     27,                 1.2432,                0.72112,                 1.0079,                0.90458,                0.55579,                0.65371,                0.40249,                 1.3062,                0.69327,                 1.0414,              0.0014113,              0.0014113,              0.0014113
                     28,                 1.2373,                0.71047,                 1.0041,                0.53503,                 0.6604,                0.60516,                0.37994,                 1.3044,                0.74856,                 1.0401,              0.0014106,              0.0014106,              0.0014106
                     29,                 1.2356,                0.70509,                0.99791,                0.51236,                0.74754,                0.66297,                 0.4172,                 1.2877,                0.69217,                 1.0259,              0.0014099,              0.0014099,              0.0014099
                     30,                  1.218,                0.67851,                0.99769,                0.59467,                0.64364,                0.65973,                  0.434,                 1.2559,                0.66532,                 1.0131,              0.0014092,              0.0014092,              0.0014092
                     31,                 1.2634,                0.72595,                 1.0032,                 0.9113,                0.56884,                0.64195,                0.38778,                  1.254,                0.66778,                 1.0239,              0.0014085,              0.0014085,              0.0014085
                     32,                 1.2098,                0.69105,                0.99431,                0.89213,                0.55495,                0.61299,                0.39149,                 1.2655,                0.65479,                 1.0261,              0.0014078,              0.0014078,              0.0014078
                     33,                 1.2124,                0.67405,                0.99826,                0.89994,                0.55868,                0.63347,                0.40507,                 1.2707,                0.69278,                 1.0198,              0.0014071,              0.0014071,              0.0014071
                     34,                 1.2174,                0.66775,                0.99627,                0.58226,                0.64983,                0.69017,                0.43056,                 1.2836,                0.67337,                 1.0202,              0.0014064,              0.0014064,              0.0014064
