                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9021,                 3.9881,                 1.3139,                0.00418,                0.18809,                0.01297,                0.00375,                 1.5106,                 3.5269,                 1.0581,                 0.0874,                 0.0014,                 0.0014
                      2,                 1.6621,                 1.8189,                 1.1972,                0.02443,                 0.3838,                0.26845,                0.10261,                 2.0579,                 2.8828,                 1.3574,                0.07389,              0.0028904,              0.0028904
                      3,                 1.6266,                 1.3155,                  1.174,                 0.0261,                0.44039,                0.33699,                0.15475,                 1.9075,                 2.8824,                 1.2725,               0.060371,               0.004371,               0.004371
                      4,                 1.5475,                 1.1595,                 1.1316,                0.02853,                0.52925,                0.42073,                0.20917,                 1.8437,                 2.5453,                 1.2589,               0.046842,              0.0058416,              0.0058416
                      5,                 1.5343,                 1.0972,                 1.1114,                0.92092,                0.12875,                0.48199,                0.28343,                 1.3689,                 2.1083,                 1.0615,               0.033302,              0.0073023,              0.0073023
                      6,                 1.5012,                   1.06,                 1.1029,                 0.9143,                0.33917,                0.50137,                0.26841,                 1.5098,                 1.8035,                 1.1116,               0.019753,              0.0087532,              0.0087532
                      7,                 1.5253,                 1.0321,                 1.1082,                0.82704,                0.47817,                0.50469,                0.27192,                 1.3923,                 1.3226,                 1.0921,               0.009802,               0.009802,               0.009802
                      8,                 1.4907,                0.99272,                 1.0896,                0.85262,                0.48705,                0.54494,                0.31912,                 1.3733,                   1.07,                 1.1008,               0.009802,               0.009802,               0.009802
                      9,                 1.4587,                0.93098,                 1.0862,                0.82876,                0.42872,                0.50952,                0.30193,                 1.4461,                 1.1517,                 1.1226,               0.009769,               0.009769,               0.009769
                     10,                 1.4114,                0.88261,                 1.0691,                0.85367,                 0.4958,                0.54402,                0.31784,                 1.3446,                0.93771,                 1.0963,               0.009736,               0.009736,               0.009736
                     11,                 1.4166,                0.86973,                 1.0668,                0.92716,                 0.4763,                0.54596,                0.30001,                 1.4452,                0.88382,                 1.1257,               0.009703,               0.009703,               0.009703
                     12,                 1.3585,                0.82309,                 1.0557,                0.93564,                0.49477,                0.56668,                0.34396,                 1.3299,                0.88576,                 1.0943,                0.00967,                0.00967,                0.00967
                     13,                 1.3473,                0.82615,                 1.0486,                0.82168,                0.48156,                0.50577,                0.26703,                 1.4866,                0.98211,                 1.1561,               0.009637,               0.009637,               0.009637
                     14,                 1.3565,                0.79431,                  1.047,                 0.8848,                0.51284,                 0.5792,                0.34419,                 1.2536,                0.80193,                 1.0554,               0.009604,               0.009604,               0.009604
                     15,                 1.3251,                0.77635,                 1.0437,                0.88601,                0.53939,                0.56916,                 0.3255,                 1.3411,                0.87956,                 1.0941,               0.009571,               0.009571,               0.009571
                     16,                 1.3195,                0.76652,                 1.0373,                 0.8716,                0.46329,                0.53599,                0.31137,                 1.4058,                0.92521,                  1.098,               0.009538,               0.009538,               0.009538
                     17,                 1.3305,                0.74272,                 1.0315,                0.89424,                0.54464,                 0.6498,                0.40407,                 1.2426,                 0.8207,                 1.0557,               0.009505,               0.009505,               0.009505
                     18,                 1.2887,                0.72864,                 1.0295,                0.88313,                0.50683,                0.59121,                  0.357,                 1.2584,                0.78441,                   1.05,               0.009472,               0.009472,               0.009472
                     19,                 1.2923,                0.73542,                 1.0312,                0.50143,                0.47397,                 0.5202,                0.31617,                 1.2922,                0.83156,                 1.0552,               0.009439,               0.009439,               0.009439
                     20,                 1.2914,                 0.7176,                 1.0303,                0.52722,                0.47883,                0.54105,                0.27706,                 1.5308,                0.82417,                 1.1423,               0.009406,               0.009406,               0.009406
                     21,                 1.2611,                0.71357,                 1.0216,                0.85448,                0.56505,                0.62218,                0.27072,                 1.9961,                0.92068,                 1.3666,               0.009373,               0.009373,               0.009373
                     22,                 1.2596,                0.69665,                 1.0159,                0.90018,                0.50273,                0.58702,                0.34393,                 1.2757,                0.78637,                 1.0602,                0.00934,                0.00934,                0.00934
                     23,                 1.2335,                0.67351,                 1.0163,                0.83593,                0.51083,                0.53604,                0.32712,                 1.2791,                0.83299,                 1.0614,               0.009307,               0.009307,               0.009307
                     24,                 1.2377,                0.67707,                 1.0166,                0.63232,                0.63952,                0.72001,                0.45851,                 1.2084,                0.66167,                 1.0353,               0.009274,               0.009274,               0.009274
                     25,                  1.256,                0.67645,                 1.0162,                0.62332,                0.64422,                0.64152,                0.40942,                  1.317,                0.76022,                  1.067,               0.009241,               0.009241,               0.009241
