                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.836,                 2.2247,                 1.2465,                0.00039,                0.01037,                 0.0002,                  4e-05,                 3.8478,                    inf,                 6.2866,                 0.0748,                 0.0028,                 0.0028
                      2,                 1.6938,                 1.2276,                 1.1714,                  9e-05,                0.00234,                  4e-05,                  1e-05,                 3.9852,                    inf,                 4.1387,               0.048697,              0.0056972,              0.0056972
                      3,                   1.66,                 1.1188,                 1.1696,                0.00095,                0.00669,                0.00019,                  4e-05,                 3.7651,                    inf,                 3.4869,               0.022591,              0.0085915,              0.0085915
                      4,                 1.6592,                 1.1272,                 1.1657,                0.48784,                0.10776,                0.09245,                0.02919,                 2.8896,                 4.9481,                 2.5536,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.5782,                 1.0229,                 1.1375,                0.28724,                0.27021,                0.27195,                0.14316,                 1.6537,                 3.5287,                 1.2747,              0.0099851,              0.0099851,              0.0099851
                      6,                 1.5528,                0.97906,                 1.1336,                 0.2578,                 0.3214,                0.22632,                0.09729,                 2.0518,                 11.556,                 1.4062,              0.0099802,              0.0099802,              0.0099802
                      7,                 1.4915,                 0.9062,                 1.1068,                0.64233,                0.41764,                0.35402,                0.18354,                 1.5728,                 2.9434,                 1.1831,              0.0099753,              0.0099753,              0.0099753
                      8,                 1.4677,                0.89101,                 1.1078,                0.81808,                0.41605,                0.45971,                0.25789,                 1.5193,                 1.6573,                 1.1682,              0.0099703,              0.0099703,              0.0099703
                      9,                 1.4828,                0.86704,                 1.1078,                 0.7991,                0.42065,                0.45003,                 0.2537,                 1.4697,                 1.1252,                  1.133,              0.0099654,              0.0099654,              0.0099654
                     10,                 1.4812,                0.86021,                 1.1104,                0.79488,                0.44976,                0.48988,                0.28281,                 1.4383,                  1.673,                 1.1196,              0.0099604,              0.0099604,              0.0099604
                     11,                 1.4606,                0.84278,                 1.1075,                 0.8376,                0.45204,                0.51311,                0.30434,                 1.4046,                 1.0274,                 1.0924,              0.0099555,              0.0099555,              0.0099555
                     12,                 1.4035,                0.81728,                 1.0766,                0.86499,                0.44498,                0.48294,                0.24639,                 1.6609,                 1.0982,                 1.2076,              0.0099505,              0.0099505,              0.0099505
                     13,                 1.4082,                0.79392,                 1.0758,                0.87666,                0.50012,                0.61553,                0.36559,                 1.4127,                0.97416,                 1.0776,              0.0099456,              0.0099456,              0.0099456
                     14,                 1.3937,                0.78639,                 1.0733,                0.79054,                0.34471,                0.39105,                0.19942,                 1.6384,                 1.2025,                 1.2045,              0.0099406,              0.0099406,              0.0099406
                     15,                 1.3929,                0.80873,                 1.0692,                 0.8268,                0.48106,                0.51732,                0.31182,                 1.3606,                 1.0438,                 1.0699,              0.0099357,              0.0099357,              0.0099357
                     16,                 1.3667,                0.75769,                  1.061,                0.86012,                0.49923,                0.55989,                0.32402,                 1.4678,                0.78059,                 1.1146,              0.0099307,              0.0099307,              0.0099307
                     17,                 1.3914,                0.75987,                 1.0676,                0.88194,                0.51134,                0.61972,                0.36727,                 1.3508,                0.81904,                 1.0753,              0.0099258,              0.0099258,              0.0099258
                     18,                  1.346,                0.73608,                 1.0574,                0.87947,                0.50338,                0.57503,                0.33544,                 1.4275,                0.87846,                 1.0941,              0.0099208,              0.0099208,              0.0099208
                     19,                 1.3475,                0.75103,                 1.0542,                0.86261,                0.43052,                0.48259,                 0.2769,                 1.5381,                0.93724,                  1.129,              0.0099159,              0.0099159,              0.0099159
                     20,                 1.3285,                0.73503,                 1.0437,                0.91983,                0.51334,                0.58181,                0.35049,                 1.4016,                0.77523,                 1.0904,              0.0099109,              0.0099109,              0.0099109
                     21,                 1.3607,                0.74925,                 1.0665,                0.56411,                0.73044,                0.68171,                0.41913,                 1.3508,                0.90143,                 1.0687,               0.009906,               0.009906,               0.009906
                     22,                 1.3493,                0.73142,                 1.0467,                0.92588,                0.52523,                 0.6232,                0.35287,                  1.386,                0.86487,                 1.0902,               0.009901,               0.009901,               0.009901
                     23,                 1.3203,                0.71657,                 1.0517,                0.73552,                 0.5937,                0.62363,                0.38803,                 1.3502,                0.76261,                 1.0647,              0.0098961,              0.0098961,              0.0098961
                     24,                 1.3371,                0.71824,                 1.0449,                0.89669,                0.50412,                0.64221,                0.40872,                 1.4928,                0.76814,                 1.0839,              0.0098911,              0.0098911,              0.0098911
                     25,                  1.341,                0.71367,                 1.0434,                0.83126,                0.43245,                0.46603,                 0.2606,                 1.4117,                0.89333,                 1.0931,              0.0098861,              0.0098861,              0.0098861
                     26,                  1.329,                0.71295,                 1.0523,                0.91465,                0.53702,                0.69418,                0.45251,                 1.3181,                0.75323,                  1.061,              0.0098812,              0.0098812,              0.0098812
                     27,                 1.3221,                0.69697,                 1.0344,                0.88511,                0.56508,                0.62717,                 0.3808,                 1.3186,                0.76304,                 1.0653,              0.0098763,              0.0098763,              0.0098763
                     28,                 1.2996,                0.68249,                   1.04,                0.88276,                0.54401,                0.60016,                0.35007,                 1.4156,                0.75103,                 1.0769,              0.0098713,              0.0098713,              0.0098713
                     29,                 1.2846,                0.67937,                 1.0337,                0.66524,                0.69279,                0.71066,                0.47106,                 1.2373,                0.67464,                 1.0307,              0.0098664,              0.0098664,              0.0098664
                     30,                 1.2864,                0.66927,                 1.0314,                0.69637,                0.62128,                0.64985,                0.40784,                 1.3027,                 0.6764,                 1.0388,              0.0098614,              0.0098614,              0.0098614
                     31,                 1.2917,                0.66897,                 1.0321,                0.91371,                 0.5658,                0.69061,                0.43503,                 1.2574,                0.66568,                 1.0453,              0.0098565,              0.0098565,              0.0098565
                     32,                 1.2718,                0.67577,                 1.0236,                0.87594,                0.52208,                 0.5639,                0.30246,                 1.4629,                0.76765,                 1.1086,              0.0098515,              0.0098515,              0.0098515
                     33,                   1.28,                0.67971,                 1.0244,                 0.8901,                0.49191,                0.54096,                0.33703,                 1.3911,                0.85911,                 1.0789,              0.0098466,              0.0098466,              0.0098466
                     34,                 1.2557,                0.66357,                  1.022,                0.90357,                0.53382,                0.65169,                0.40888,                  1.284,                0.72365,                 1.0463,              0.0098416,              0.0098416,              0.0098416
                     35,                  1.255,                0.64919,                 1.0227,                0.67866,                0.72153,                0.66105,                0.42594,                 1.3115,                0.65806,                   1.05,              0.0098367,              0.0098367,              0.0098367
                     36,                 1.2757,                0.65376,                 1.0286,                0.92279,                0.54218,                0.61842,                0.37124,                 1.3421,                0.69136,                 1.0597,              0.0098317,              0.0098317,              0.0098317
                     37,                  1.294,                0.66266,                  1.028,                0.73021,                0.69547,                0.69323,                0.42973,                  1.292,                0.67821,                 1.0419,              0.0098268,              0.0098268,              0.0098268
                     38,                 1.2429,                0.64045,                 1.0216,                0.73832,                0.65444,                0.65591,                0.42668,                 1.3216,                0.68568,                  1.051,              0.0098218,              0.0098218,              0.0098218
                     39,                 1.2692,                 0.6506,                 1.0282,                0.60084,                 0.6538,                0.69145,                0.42595,                 1.3499,                0.68842,                 1.0647,              0.0098169,              0.0098169,              0.0098169
                     40,                 1.2553,                0.65287,                 1.0194,                0.91796,                0.55463,                0.64131,                0.39826,                 1.2772,                0.65951,                 1.0421,              0.0098119,              0.0098119,              0.0098119
                     41,                 1.2278,                0.63391,                  1.007,                0.93914,                0.55211,                0.61336,                0.38496,                 1.2679,                0.64713,                 1.0425,               0.009807,               0.009807,               0.009807
